,Converted,Converted_prob,Prospect ID,Predicted,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,final_Predicted,Lead_Score
0,0,0.009991424351800275,1871,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0.3878252367713317,6795,0,1,1,1,1,0,0,0,0,0,0,1,39
2,0,0.009991424351800275,3516,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0,0.09660584438900392,8105,0,1,0,0,0,0,0,0,0,0,0,0,10
4,0,0.3878252367713317,3934,0,1,1,1,1,0,0,0,0,0,0,1,39
5,1,0.9930288551115778,4844,1,1,1,1,1,1,1,1,1,1,1,1,99
6,0,0.009991424351800275,3297,0,1,0,0,0,0,0,0,0,0,0,0,1
7,1,0.9999558788446407,8071,1,1,1,1,1,1,1,1,1,1,1,1,100
8,0,0.15022917882512118,987,0,1,1,0,0,0,0,0,0,0,0,0,15
9,1,0.8703439999982505,7423,1,1,1,1,1,1,1,1,1,1,0,1,87
10,1,0.8703439999982505,1032,1,1,1,1,1,1,1,1,1,1,0,1,87
11,0,0.8703439999982505,6542,1,1,1,1,1,1,1,1,1,1,0,1,87
12,1,0.3878252367713317,4317,0,1,1,1,1,0,0,0,0,0,0,1,39
13,1,0.7401591563195961,6472,1,1,1,1,1,1,1,1,1,0,0,1,74
14,0,0.0028083995458596306,712,0,1,0,0,0,0,0,0,0,0,0,0,0
15,0,0.3878252367713317,3960,0,1,1,1,1,0,0,0,0,0,0,1,39
16,0,0.3878252367713317,4654,0,1,1,1,1,0,0,0,0,0,0,1,39
17,0,0.12593325825335625,5902,0,1,1,0,0,0,0,0,0,0,0,0,13
18,0,0.3878252367713317,4691,0,1,1,1,1,0,0,0,0,0,0,1,39
19,1,0.3878252367713317,4341,0,1,1,1,1,0,0,0,0,0,0,1,39
20,1,0.3878252367713317,3677,0,1,1,1,1,0,0,0,0,0,0,1,39
21,1,0.3878252367713317,1050,0,1,1,1,1,0,0,0,0,0,0,1,39
22,1,0.8703439999982505,9115,1,1,1,1,1,1,1,1,1,1,0,1,87
23,1,0.9995555804810327,2878,1,1,1,1,1,1,1,1,1,1,1,1,100
24,1,0.9854317266549288,6167,1,1,1,1,1,1,1,1,1,1,1,1,99
25,1,0.7535380397739619,9031,1,1,1,1,1,1,1,1,1,0,0,1,75
26,0,0.3878252367713317,2175,0,1,1,1,1,0,0,0,0,0,0,1,39
27,1,0.8703439999982505,3147,1,1,1,1,1,1,1,1,1,1,0,1,87
28,1,0.3878252367713317,8886,0,1,1,1,1,0,0,0,0,0,0,1,39
29,0,0.02374246054782388,7944,0,1,0,0,0,0,0,0,0,0,0,0,2
30,1,0.8703439999982505,3278,1,1,1,1,1,1,1,1,1,1,0,1,87
31,0,0.009991424351800275,7615,0,1,0,0,0,0,0,0,0,0,0,0,1
32,1,0.8703439999982505,7455,1,1,1,1,1,1,1,1,1,1,0,1,87
33,0,0.009991424351800275,7379,0,1,0,0,0,0,0,0,0,0,0,0,1
34,1,0.3878252367713317,2712,0,1,1,1,1,0,0,0,0,0,0,1,39
35,0,0.009991424351800275,499,0,1,0,0,0,0,0,0,0,0,0,0,1
36,0,0.3878252367713317,8329,0,1,1,1,1,0,0,0,0,0,0,1,39
37,0,0.09759856451244371,504,0,1,0,0,0,0,0,0,0,0,0,0,10
38,0,0.32718651398172155,3610,0,1,1,1,1,0,0,0,0,0,0,0,33
39,0,0.02374246054782388,3975,0,1,0,0,0,0,0,0,0,0,0,0,2
40,0,0.12593325825335625,1835,0,1,1,0,0,0,0,0,0,0,0,0,13
41,0,0.3878252367713317,1756,0,1,1,1,1,0,0,0,0,0,0,1,39
42,0,0.009991424351800275,3059,0,1,0,0,0,0,0,0,0,0,0,0,1
43,0,0.009991424351800275,7257,0,1,0,0,0,0,0,0,0,0,0,0,1
44,0,0.3878252367713317,498,0,1,1,1,1,0,0,0,0,0,0,1,39
45,0,0.3878252367713317,6920,0,1,1,1,1,0,0,0,0,0,0,1,39
46,1,0.3878252367713317,4393,0,1,1,1,1,0,0,0,0,0,0,1,39
47,0,0.009991424351800275,6970,0,1,0,0,0,0,0,0,0,0,0,0,1
48,0,0.3878252367713317,6929,0,1,1,1,1,0,0,0,0,0,0,1,39
49,1,0.9999558788446407,4779,1,1,1,1,1,1,1,1,1,1,1,1,100
50,0,0.002289960495272786,6195,0,1,0,0,0,0,0,0,0,0,0,0,0
51,1,0.6042157425559178,5145,1,1,1,1,1,1,1,1,0,0,0,1,60
52,1,0.9307658510296561,5933,1,1,1,1,1,1,1,1,1,1,1,1,93
53,1,0.8703439999982505,9093,1,1,1,1,1,1,1,1,1,1,0,1,87
54,1,0.8703439999982505,4498,1,1,1,1,1,1,1,1,1,1,0,1,87
55,0,0.009991424351800275,4611,0,1,0,0,0,0,0,0,0,0,0,0,1
56,1,0.3878252367713317,2196,0,1,1,1,1,0,0,0,0,0,0,1,39
57,0,0.26852067693466924,1599,0,1,1,1,0,0,0,0,0,0,0,0,27
58,1,0.3878252367713317,9032,0,1,1,1,1,0,0,0,0,0,0,1,39
59,0,0.3878252367713317,5054,0,1,1,1,1,0,0,0,0,0,0,1,39
60,0,0.09759856451244371,8557,0,1,0,0,0,0,0,0,0,0,0,0,10
61,0,0.3878252367713317,6128,0,1,1,1,1,0,0,0,0,0,0,1,39
62,1,0.8703439999982505,3270,1,1,1,1,1,1,1,1,1,1,0,1,87
63,0,0.12593325825335625,5940,0,1,1,0,0,0,0,0,0,0,0,0,13
64,1,0.3878252367713317,6859,0,1,1,1,1,0,0,0,0,0,0,1,39
65,0,0.3878252367713317,2278,0,1,1,1,1,0,0,0,0,0,0,1,39
66,1,0.8703439999982505,4858,1,1,1,1,1,1,1,1,1,1,0,1,87
67,1,0.8703439999982505,2714,1,1,1,1,1,1,1,1,1,1,0,1,87
68,0,0.009991424351800275,561,0,1,0,0,0,0,0,0,0,0,0,0,1
69,1,0.999064553342821,936,1,1,1,1,1,1,1,1,1,1,1,1,100
70,1,0.3878252367713317,3895,0,1,1,1,1,0,0,0,0,0,0,1,39
71,0,0.09660584438900392,8764,0,1,0,0,0,0,0,0,0,0,0,0,10
72,1,0.8703439999982505,4928,1,1,1,1,1,1,1,1,1,1,0,1,87
73,0,0.0028083995458596306,8698,0,1,0,0,0,0,0,0,0,0,0,0,0
74,0,0.009991424351800275,7783,0,1,0,0,0,0,0,0,0,0,0,0,1
75,0,0.3878252367713317,4953,0,1,1,1,1,0,0,0,0,0,0,1,39
76,1,0.9930288551115778,2440,1,1,1,1,1,1,1,1,1,1,1,1,99
77,0,0.009991424351800275,543,0,1,0,0,0,0,0,0,0,0,0,0,1
